,features,coef
426,cit_Gridley,-0.0005453962791454155
427,cit_Grimes,0.0328591204465456
428,cit_Grizzly Flats,0.0
429,cit_Groveland,-0.0041288773273873616
430,cit_Grover Beach,-0.0006027546121194612
431,cit_Guadalupe,-0.0009272810952427042
432,cit_Gualala,0.0
433,cit_Guatay,-0.0012419532079121715
434,cit_Guerneville,0.0009509440699396785
435,cit_Guinda,0.0023771430127432977
436,cit_Gustine,0.0
437,cit_Hacienda Heights,-0.001915902401811361
438,cit_Half Moon Bay,-0.031021189095933512
439,cit_Hamilton City,-0.0008599514335329767
440,cit_Hanford,0.0
441,cit_Happy Camp,0.0
442,cit_Harbor City,0.010492054658056964
443,cit_Hat Creek,0.00024331856888914222
444,cit_Hathaway Pines,-0.1214875168621919
445,cit_Hawaiian Gardens,-0.00043934097978267424
446,cit_Hawthorne,0.0
447,cit_Hayfork,-3.6473974010475784e-05
448,cit_Hayward,0.12232907993294026
449,cit_Healdsburg,0.0
450,cit_Heber,0.0
451,cit_Helendale,-0.001118694735033318
452,cit_Helm,0.0
453,cit_Hemet,-0.0001827343758830436
454,cit_Herald,0.0
455,cit_Hercules,0.0
456,cit_Herlong,-0.005939382630192425
457,cit_Hermosa Beach,-0.13477795587095845
458,cit_Hesperia,-0.0004486123197784123
459,cit_Hickman,-0.0019468941897014438
460,cit_Highland,-0.0009727085612427656
461,cit_Hilmar,0.0
462,cit_Hinkley,0.0
463,cit_Hollister,-0.0012506063371870233
464,cit_Holtville,0.1093549489701437
465,cit_Homeland,0.0
466,cit_Homewood,0.0
467,cit_Honeydew,0.0
468,cit_Hood,0.0
469,cit_Hoopa,0.0
470,cit_Hopland,-0.002985053950756196
471,cit_Hornbrook,-0.03182883043360105
472,cit_Hornitos,-0.047092404702334514
473,cit_Hughson,0.0
474,cit_Hume,0.0021022961569063876
475,cit_Huntington Beach,-0.0016700823633606738
476,cit_Huntington Park,0.0
477,cit_Huron,0.0
478,cit_Hyampom,0.0
